Pipe ID ,Pipe Identification,Pipe Diameter,Pipe Material,Pipe Roughness,Pipe Construction Year,Age ,Pipe Measured Length,Degradation rate,Effect factor,X_Coordinates,Y_Coordinates,Elevation_(m) with Sea level,BREAK_DATE,BREAK_YEAR,XCOORD,YCOORD,Break_Count,Pipe Location Description
19229,LN2094,150,CI,95,1943,58,118.8,2,0.16,-79.32858112,43.69018733,124,1/11/1994,1994,318608.674,4838690.123,1,MIRANDA AVE
19974,LN1358054,150,CICL,95,1909,58,355.5,2,0.16,-79.43126931,43.79023839,188,1/27/2004,2004,310326.95,4849814.353,1,WAVERLEY RD
20306,LN4026529,150,CI,95,1960,58,392.6,2,0.16,-79.27935582,43.78514563,172,10/27/2006,2006,322536.615,4849264.282,1,FRANKTON CRES
20333,LN2451560,300,CI,95,1964,58,103.7,2,0.16,-79.46528396,43.68737933,136.1150148,3/6/2015,2015,307579.433,4838379.943,1,PETTIT DR
22362,LN1360141,150,CI,110,1930,58,80.3,1.5,0.16,-79.4948011,43.67402157,121,2/4/2008,2008,305195.993,4836895.247,1,ARMADALE AVE
22433,LN2452776,200,CI,95,1955,58,100.0372844,2,0.16,-79.17067101,43.80848428,127.5890714,6/28/1995,1995,331286.272,4851889.697,1,PRINCESS MARGARET BLVD
22646,LN4023710,150,CI,95,1956,58,115.1,2,0.16,-79.45336726,43.64005732,78.36359774,11/10/2005,2005,308546.749,4833133.194,1,BURLEIGH HEIGHTS DR
23025,LN104459,150,CI,95,1959,58,185.5,2,0.16,-79.50432497,43.71402322,125,10/25/1997,1997,304433.646,4841352.708,1,PROVIDENCE ST
23058,LN4050870,200,PVC,95,2001,58,135.1,2,0.16,-79.37661855,43.66240274,99,1/27/1995,1995,314728.451,4835601.571,1,GLEN WATFORD DR
23289,LN16223,150,PVC,95,2005,58,1.8,2,0.16,-79.38881429,43.76906917,174.9636414,1/24/1998,1998,313732.679,4847460.161,1,OUTLOOK AVE
23331,LN1360273,400,DICL,95,1988,58,26.2,2,0.16,-79.43479528,43.78329455,192,4/16/1996,1996,310034.614,4849041.28,1,BREMNER BLVD
23394,LN2447170,150,CI,95,1940,58,143.4,2,0.16,-79.41806593,43.77769333,188,12/29/2010,2010,311371.632,4848414.536,1,KINGSWAY CRES
23546,LN2007221,300,CI,95,1960,58,10.2,2,0.16,-79.36595485,43.64617628,76,11/8/2005,2005,315594.878,4833823.9,1,BLOOR ST W
23695,LN2446982,150,CI,130,1961,58,200.5,0.75,0.657142857,-79.38177801,43.73632456,154,12/12/2002,2002,314310.735,4843808.372,1,KINGSVIEW BLVD
23816,LN1008460,150,CICL,95,1912,58,5.3,2,0.16,-79.4539205,43.75015859,191,2/27/2003,2003,308493.805,4845361.967,1,LINCOLN AVE
23902,LN1360649,500,CI,120,1912,58,621.5,1.5,0.965517241,-79.2334223,43.72449061,181,2/3/2010,2010,326253.931,4842530.469,1,DAVENPORT RD
23983,LN1002792,150,CI,95,1874,58,15,2,0.16,-79.35374687,43.71214394,127,12/30/1991,1991,316563.141,4841139.765,1,KING ST W
24037,LN3000613,300,CI,110,1926,58,82.5,1.5,0.16,-79.28638377,43.7435333,163,12/21/2009,2009,321985.5,4844659.937,1,COSBURN AVE
24226,LN2002335,300,CI,110,1948,58,264.3,1.5,0.16,-79.49024211,43.75988742,196,1/8/1999,1999,305572.127,4846451.9,1,MONTESSON ST
24327,LN1008130,150,CICL,95,1908,58,119.1,2,0.16,-79.53548236,43.6087082,104,3/6/1995,1995,301909.224,4829640.194,1,INDIAN GRV
24338,LN4038399,300,CI,95,1968,58,40.9,2,0.16,-79.52586736,43.60603052,100.2324554,6/9/1994,1994,302683.86,4829349.709,1,BAYVIEW AVE
24944,LN1359112,150,CI,95,1912,58,124,1,0.45,-79.26997159,43.77366013,164,11/7/2003,2003,323304.893,4847987.575,1,PARKWOOD AVE
25047,LN1010682,500,CI,95,1914,58,4.1,2,0.16,-79.33747004,43.65501682,76.03278726,3/5/1994,1994,317891.006,4834796.032,1,BATHURST ST
25055,LN1353523,300,CI,115,1915,58,33.2,1,0.16,-79.36266884,43.651585,79,1/28/1991,1991,315864.856,4834406.683,1,LAWRENCE AVE E
25169,LN11843,150,CI,95,1923,58,181.9,2,0.16,-79.40649581,43.6693356,116,3/27/2014,2014,312288.598,4836351.698,1,ATLAS AVE
25444,LN1008795,300,DIP,95,1962,58,64.1,2,0.16,-79.47698403,43.72819995,184.3306091,2/8/2010,2010,306640.156,4842906.224,1,DAVENPORT RD
